"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition"
"100C",3856.43392411893,-0.190432198320452,0.113188677456497,-1.68243151700084,0.0924851941622854,0.578000865658759,"Pancreatic Cancer"
"100D",297.96467226338,0.115748514333018,0.319024067809436,0.362820633339045,0.716738877493865,0.920619313982911,"Pancreatic Cancer"
"101B",3837.96486676756,0.0441502559745367,0.158422864582204,0.278686135937327,0.7804857030789,0.943986254278122,"Pancreatic Cancer"
"101C",8618.19605861457,0.0373025993219653,0.115823990451798,0.322062805610979,0.747405115064317,0.929982388225165,"Pancreatic Cancer"
"102B",3290.79241465307,-0.119797020596396,0.181009365064053,-0.661827748823959,0.508081620283921,0.8808982178414,"Pancreatic Cancer"
"102C",21744.7220744155,0.0512748711938878,0.093402863156053,0.548964661909991,0.583029701345369,0.901356589398608,"Pancreatic Cancer"
"103B",27623.104644833,-0.131726286352824,0.153951816250755,-0.855633207589247,0.392200695763069,0.806646490618186,"Pancreatic Cancer"
"103C",12094.3562639849,0.139986584017352,0.149008185757993,0.939455663494268,0.347496845485533,0.791092066938006,"Pancreatic Cancer"
"103D",13481.0347838923,-0.164628607399607,0.175409470341402,-0.938538877514355,0.34796754727948,0.791092066938006,"Pancreatic Cancer"
"104B",36320.0038957387,0.0795904161694855,0.103913563372768,0.765929043198834,0.443718523664378,0.842961007997747,"Pancreatic Cancer"
"104C",6263.11022231012,0.0686786658550402,0.108202282740788,0.634724740693024,0.5256079548356,0.894332873433157,"Pancreatic Cancer"
"104D",44394.7683202069,0.0272954491253759,0.133702558851631,0.204150536532854,0.838235863383601,0.959755919378373,"Pancreatic Cancer"
"105B",8608.26273812762,-0.14894794304113,0.153607744623032,-0.969664279666773,0.332213860955241,0.791092066938006,"Pancreatic Cancer"
"105D",437.617613934617,-0.0969043201070256,0.432097709249277,-0.224264831848765,0.822551239385154,0.953954775626528,"Pancreatic Cancer"
"106C",1258.81338801379,0.030062041865305,0.168932042946313,0.177953461883243,0.858759524325582,0.959890857206626,"Pancreatic Cancer"
"106D",1573.71857674196,0.0618896927870224,0.160982688208629,0.384449368287446,0.700645415982738,0.916866506680385,"Pancreatic Cancer"
"107B",56923.5649446107,0.280137298933174,0.122827770693504,2.28073258475243,0.0225642757536752,0.352715257833765,"Pancreatic Cancer"
"107C",1889.78453297465,0.141838225358156,0.182269867552076,0.778177036408018,0.436464652512744,0.839029137840033,"Pancreatic Cancer"
"107D",5646.40650946033,0.0724591951793538,0.129185483319462,0.560892704950215,0.574870683426703,0.901356589398608,"Pancreatic Cancer"
"108B",52673.8804437526,0.278047676861903,0.109028486550985,2.55022962950035,0.0107651987333946,0.26101311905642,"Pancreatic Cancer"
"108C",2741.18338204225,-0.00473357401881835,0.183642543050012,-0.0257760208511665,0.979435988081861,0.993237640403051,"Pancreatic Cancer"
"108D",6468.42074213162,0.0457671199314088,0.127430673056607,0.359153089547586,0.719480567646462,0.920619313982911,"Pancreatic Cancer"
"109B",14642.6297034365,-0.0749181955635268,0.176798468174078,-0.42374912145597,0.671748787049636,0.916032311247777,"Pancreatic Cancer"
"109C",12566.0361035889,-0.147966942102919,0.103741981341186,-1.42629762985041,0.153782448481454,0.644502595322581,"Pancreatic Cancer"
"109D",13411.7299219679,0.0621428949387685,0.116082723337556,0.535332848438297,0.592419715784175,0.901356589398608,"Pancreatic Cancer"
"10A",893.460125377477,-0.630345180748437,0.252705533266743,-2.49438614422058,0.012617519819911,0.277585436038041,"Pancreatic Cancer"
"10B",36372.2288037537,0.0198111392513104,0.10650218874381,0.186016263937693,0.852432007144476,0.959755919378373,"Pancreatic Cancer"
"10C",2177.29095209163,0.130717295066016,0.163217422365701,0.80087832028822,0.423202092039322,0.83449608078204,"Pancreatic Cancer"
"110C",3647.62688462317,-0.185453434566711,0.125121778808747,-1.48218348821737,0.138291478817279,0.631430449122489,"Pancreatic Cancer"
"110D",21565.1694905146,-0.0364376402502872,0.120996268126225,-0.30114681067911,0.763302547034714,0.933657090990251,"Pancreatic Cancer"
"111C",21107.8477833361,0.0418249484216395,0.105945762596585,0.394776982076181,0.693007483699835,0.916866506680385,"Pancreatic Cancer"
"111D",13767.0698968051,-0.138711501934328,0.113803927745226,-1.21886392396633,0.22289584427704,0.711828663981515,"Pancreatic Cancer"
"112B",52298.5016292319,-0.117470697790377,0.1673226824839,-0.702060808770978,0.482641241905631,0.866893394921937,"Pancreatic Cancer"
"112D",20465.4245308308,0.0263896483980562,0.1132517908403,0.233017493165023,0.81574782204382,0.953846862783521,"Pancreatic Cancer"
"113C",17484.6185655206,0.151445638889835,0.0979363518411618,1.54636798331489,0.122015721887793,0.59407654755204,"Pancreatic Cancer"
"114B",8478.04408242324,-0.036910597020858,0.10155648520078,-0.363448941226006,0.716269547792995,0.920619313982911,"Pancreatic Cancer"
"114C",4754.71160366408,-0.131920454816558,0.172841969855768,-0.763243180615464,0.445318381060261,0.842961007997747,"Pancreatic Cancer"
"114D",27144.7467027731,0.00791378594269927,0.183944429772198,0.0430226995864998,0.965683438950734,0.990590306044352,"Pancreatic Cancer"
"115B",9527.58528153267,0.152073709624485,0.112085282870796,1.35676786219815,0.174854982040987,0.692425728882309,"Pancreatic Cancer"
"115C",5801.2713182943,0.0954844793067881,0.127767055367127,0.747332550103956,0.454862848951979,0.852329754818535,"Pancreatic Cancer"
"115D",9489.09340619676,-0.200944489131011,0.151282829232633,-1.32827030106643,0.184088827266468,0.70924707994885,"Pancreatic Cancer"
"116B",6881.84398074601,0.16521096732033,0.131075205051164,1.26042882981447,0.207514706968279,0.711828663981515,"Pancreatic Cancer"
"116C",5211.49471732423,0.123521413355546,0.109176382850073,1.13139316517908,0.257889646959826,0.757790756620781,"Pancreatic Cancer"
