"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ecel1",-0.0690883624390983,0.645730970572432,-14.0737803492413,1.17528320986027e-22,3.48318684906287e-18,40.5272627678274
"Ralgapa1.8",0.0395955871767015,0.75711465346899,9.17438912429268,7.5091243543371e-14,1.11273959244744e-09,20.1646847480652
"Tead1.1",-0.0389399217101155,0.681748773572239,-8.73331109974127,5.13380648920813e-13,4.68015735395797e-09,18.241661218039
"Skida1.8",-0.0735503396361543,0.456163435307756,-8.68580340060562,6.31664116335387e-13,4.68015735395797e-09,18.0343714270567
"Zfp330",0.018668042194704,0.922695323278702,8.2286243610704,4.60834672051592e-12,2.51351796154678e-08,16.0483559054003
"Tgfb3.2",-0.0454855193828541,0.517877963404046,-8.20797812226546,5.08860808087212e-12,2.51351796154678e-08,15.9500169215317
"Skida1",-0.0933134191203658,0.508453739916714,-8.16984936778501,6.01023348176985e-12,2.54464699570304e-08,15.783850058283
"Skida1.23",-0.0672482707760361,0.445863958631175,-8.10733461263417,7.89586462727945e-12,2.92512174948351e-08,15.5114980568013
"Ralgapa1.9",0.0613046669138165,0.750165225886373,8.00500415881467,1.23400386561976e-11,4.06357472948587e-08,15.0659663017145
"Son.22",0.0678614170738378,0.637933014062385,7.92829045034161,1.72431632074823e-11,4.78176513045023e-08,14.7322346208979
"Son.13",0.0654529886300256,0.71831923333587,7.85649282075507,2.35796087858811e-11,4.78176513045023e-08,14.4201306198219
"Maml3.9",-0.0377935191772371,0.707918876850056,-7.85494943549406,2.37387336034084e-11,4.78176513045023e-08,14.4134242997154
"Bin3",-0.0622321585176845,0.431738046802206,-7.84856810010468,2.44081143158728e-11,4.78176513045023e-08,14.3856973988481
"Skida1.10",-0.0622432430951062,0.391881023394085,-7.84431049183998,2.48651684335927e-11,4.78176513045023e-08,14.3671992524244
"Itm2c",-0.100473736573186,0.726484103445967,-7.83260543322594,2.61662092658001e-11,4.78176513045023e-08,14.3163488060192
"Rsf1",0.0500873321716018,0.773242760060565,7.8288078038923,2.66027523590483e-11,4.78176513045023e-08,14.2998522527742
"Skida1.15",-0.0725259710041536,0.443346118261622,-7.82179101378084,2.74285545830056e-11,4.78176513045023e-08,14.2693739670946
"Clk1.1",0.0443405125631539,0.343999468657314,7.80614253111306,2.93635288070859e-11,4.83470501808669e-08,14.2014123678254
"Srsf5.1",0.038495571007512,0.706316091873173,7.7170306767387,4.32829483349924e-11,6.52357094964684e-08,13.8146616709278
"Zfp462.11",-0.0661636062266208,0.472358376191601,-7.7131344424534,4.40231531507699e-11,6.52357094964684e-08,13.7977625231285
"Pcmtd1",0.0367339353356687,0.435894195058199,7.66644005482873,5.39404830791267e-11,7.61254331912418e-08,13.5953091714954
"Pbx3.64",-0.0335827933838522,0.556174413112997,-7.58209586610932,7.7834488510515e-11,1.04853669817551e-07,13.2299849855611
"Rbm39.5",0.0535765453240897,0.466934651146074,7.55542821343218,8.73958729533551e-11,1.12615282031243e-07,13.1145829026311
"Ecel1.1",0.0283496380940347,0.653731906175374,7.51919938142343,1.02287410381021e-10,1.24997865303109e-07,12.9578909199149
"Nfib.1",-0.031920048606622,0.848493821559588,-7.51220608161335,1.05440720470281e-10,1.24997865303109e-07,12.927656069242
"Sema3f.5",-0.0358383282911074,0.648919816536055,-7.4228062146197,1.55402627286087e-10,1.7714106403376e-07,12.5414916110061
"Clk4.4",0.0439032503401232,0.440649847586624,7.38566790063689,1.8254411952441e-10,2.0037259519796e-07,12.3812702181176
"Cadm1.49",-0.039194399269392,0.744762006425033,-7.36215656624916,2.02117544804834e-10,2.13934202692174e-07,12.2799013286752
"Klhl29",-0.0377353158215101,0.592543436003965,-7.32284934018187,2.39618702780401e-10,2.44882051527681e-07,12.1105417509861
"Cep112.3",-0.0231751777758308,0.847603188242245,-7.31308709696221,2.49960090143348e-10,2.45951775230811e-07,12.0685024981645
"Rgs7.1",0.0233987385443317,0.784461077777789,7.3064324996427,2.57263050651387e-10,2.45951775230811e-07,12.0398509476872
"Clk1",0.0230582894607431,0.15227341258552,7.29727717334095,2.67658866239109e-10,2.47893931835265e-07,12.0004394029373
"Gm18591.3",-0.0549955925873564,0.614617055694952,-7.28659745147642,2.80315317932641e-10,2.51748638714233e-07,11.9544759644865
"Sp3.4",0.0353981321279141,0.763632520073741,7.27358369694628,2.96545920131075e-10,2.58492101027196e-07,11.8984824112565
"Kcna2",0.0245278123587538,0.765180746663609,7.21218305395758,3.86675510354797e-10,3.27425774296718e-07,11.6345270243795
"Satb1.10",-0.0460026627216033,0.72301465888295,-7.15760526350537,4.89415247677989e-10,4.02911102650905e-07,11.4002331270969
"Adamts5",-0.0373815642128139,0.694261699507689,-7.13207184273025,5.46401583333466e-10,4.37667668250106e-07,11.2907334925929
"Zic5.10",-0.0330985258658039,0.708601202083088,-7.10859574168358,6.04601508958215e-10,4.65547891494225e-07,11.1901211241109
"Satb1.30",-0.0349001178042673,0.695495753268945,-7.10553706272365,6.12625021705125e-10,4.65547891494225e-07,11.1770170493645
"Sdccag8.7",-0.0381577697992846,0.670991095487983,-7.05172493727995,7.7243384365939e-10,5.72315545613333e-07,10.9466516233075
"Runx1t1.8",-0.0343792142437952,0.451688427174888,-6.95616423961717,1.16497313886905e-09,8.42105095528344e-07,10.5384287188584
"Lrba.20",-0.0413690743205667,0.665835388445836,-6.92091207735827,1.35531858716236e-09,9.56370880184067e-07,10.3881292964186
"Ubr3.3",0.0123650354591067,0.877349817723987,6.90493156986023,1.43692978774414e-09,9.90378793473793e-07,10.3291802717849
"Nfib.7",-0.0387914934270817,0.363524312242048,-6.8969819755978,1.50183962365903e-09,1.00194030885346e-06,10.2861957410422
"Skida1.5",-0.0451292103717826,0.328670200172722,-6.89397687900106,1.52131841611518e-09,1.00194030885346e-06,10.2734005571228
"Skida1.16",-0.0637157134893712,0.618985484068884,-6.85442706575534,1.80232917216075e-09,1.161209340768e-06,10.1051192088693
"Asb18.1",-0.0293552379794667,0.426636504834111,-6.83205432884011,1.98354172676781e-09,1.23814556915576e-06,10.0100211086301
"Satb1.9",-0.0345041828849421,0.69549911401968,-6.82542217667715,2.04065873705118e-09,1.23814556915576e-06,9.98184389418917
"Bcas3.11",-0.0379121161746753,0.723198156580585,-6.82468881493506,2.04707402532754e-09,1.23814556915576e-06,9.97872853364234
"Gm13529",-0.0361182821325297,0.551768032381357,-6.79971170954067,2.27794834357976e-09,1.33242920465064e-06,9.87267042449391
"Angpt1.1",0.0366517720557379,0.84524456842933,6.79818474406957,2.29287341624262e-09,1.33242920465064e-06,9.86618952132156
"Cux2.15",-0.0355375150576652,0.198425567065134,-6.77332024721652,2.55003524764639e-09,1.45196056307215e-06,9.7607049633395
"Cntln.3",0.0220148974453597,0.934576844278405,6.76909040135798,2.59654856573958e-09,1.45196056307215e-06,9.74276940994379
"Skida1.20",-0.0556097505279191,0.313650740480802,-6.75264549621191,2.78552870499572e-09,1.52879100425848e-06,9.67306435580734
"Clk4.5",0.0369024340016867,0.50951191723154,6.73040131245343,3.06305510023262e-09,1.6468695082555e-06,9.57884246605946
"Lpp.3",-0.0323175913337015,0.522078326205353,-6.72670132810501,3.11180930803752e-09,1.6468695082555e-06,9.56317735061475
"Macrod1.1",-0.0444205393400853,0.634018546118514,-6.72032015582733,3.19771012392757e-09,1.6626409639095e-06,9.53616544483289
"Gm7729",0.0327239874744807,0.445213589546301,6.67617939353507,3.85994237847539e-09,1.95969070186952e-06,9.3494871948964
"Me3.3",0.0284605030587586,0.581125605573239,6.67368034215214,3.90126367075958e-09,1.95969070186952e-06,9.3389274313909
"Opcml.6",0.0459724081539959,0.571018473349238,6.66693530134655,4.01499623751616e-09,1.98320739152111e-06,9.31043113984356
"Cntln.17",-0.0408608474685632,0.49498952256362,-6.6562955534902,4.20112519450009e-09,2.04112700638359e-06,9.26549529329089
