"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Pura.17",0.119036751878949,0.739718706463792,23.078233215782,1.10668841727647e-12,3.27989246228227e-08,19.5361406195237
"Cntln.3",0.0666056384979995,0.914169820512806,20.9136025240406,3.61882692534142e-12,5.36255867931719e-08,18.3251641973838
"Zfp366",-0.0800204772879451,0.150326402930304,-20.4189845122253,5.46239108286676e-12,5.39629615076407e-08,17.9114842623651
"Kctd2.1",0.105734741357137,0.861423544196538,17.6511760422524,4.45109583178073e-11,3.29792817916214e-07,15.7689278519756
"Blcap.2",0.0796782354838701,0.696575513211157,17.2013919552618,6.25379057667722e-11,3.70687182641965e-07,15.4173228923722
"Dach1.31",0.165028362084524,0.677963585904822,16.7909739342675,8.79171313312436e-11,4.34266670210678e-07,15.0667873287771
"Eri3.41",0.0999235100943584,0.724500735571615,16.486148050379,1.12758153647793e-10,4.77401914237092e-07,14.8095935569621
"Arid5b.20",-0.169764366792255,0.827418052962982,-15.9843404316451,1.71423072965099e-10,6.35058201683332e-07,14.3761107519296
"Myo18a.12",-0.0953088988894235,0.470274450952113,-15.6862103341276,2.21108499871824e-10,7.13457699675737e-07,14.1124052628148
"Sgms1.7",0.10671264798169,0.822065628833107,15.5175534981805,2.55844397265587e-10,7.13457699675737e-07,13.9611188510788
"Ttn.4",0.0938980508007287,0.859768248554359,15.4780005926804,2.64805300686072e-10,7.13457699675737e-07,13.9254156506959
"Qk.13",0.141722844471258,0.785374253308742,15.2280056339439,3.2977774539455e-10,7.85173909544407e-07,13.6977528515936
"Dach1.54",0.181854044510732,0.693031071647009,15.1789745364726,3.4440938097909e-10,7.85173909544407e-07,13.6526918313548
"Mbd6.2",0.129076920282938,0.703768674453261,15.0058030135329,4.01883781056135e-10,8.12671147395628e-07,13.4924484592872
"Irf2.1",-0.0919155033899688,0.852936937118994,-14.9417034991064,4.25681243787532e-10,8.12671147395628e-07,13.4326976667275
"Fam222a.7",-0.08741901735017,0.210751519901019,-14.8628933902673,4.5701771385271e-10,8.12671147395628e-07,13.3589073284963
"Abcc9",-0.100903273390953,0.676745637788355,-14.8409973438014,4.6615411498214e-10,8.12671147395628e-07,13.3383415506456
