Model,Data
Gradient_Desc,0.2511330383
Gradient_Desc,0.03988533004
Gradient_Desc,0.4557843051
Gradient_Desc,0.2205884807
Gradient_Desc,0.3575422718
Gradient_Desc,0.4418906537
Gradient_Desc,0.4909712571
Gradient_Desc,0.4121520606
Gradient_Desc,0.4838121366
Gradient_Desc,0.3160772404
Gradient_Desc,0.4170313718
Gradient_Desc,0.5292190004
Gradient_Desc,0.1631276987
Gradient_Desc,0.4814947185
Gradient_Desc,0.3030840163
Gradient_Desc,0.0742098934
Gradient_Desc,0.124555033
Gradient_Desc,0.1521633999
Gradient_Desc,0.1344392975
Gradient_Desc,0.09157510104
Normal_Eq,0.07467667359
Normal_Eq,0.4421289318
Normal_Eq,0.3986413629
Normal_Eq,0.6268895316
Normal_Eq,0.1342662285
Normal_Eq,0.1808977028
Normal_Eq,0.4980824091
Normal_Eq,0.1916373878
Normal_Eq,0.5543086182
Normal_Eq,0.3874189103
Normal_Eq,0.1980516457
Normal_Eq,0.1217854794
Normal_Eq,0.06473185127
Normal_Eq,0.1864224462
Normal_Eq,0.443279715
Normal_Eq,0.3883644922
Normal_Eq,0.178104944
Normal_Eq,0.1944838273
Normal_Eq,0.1401003521
Normal_Eq,0.05556725039
Neural_Net,0.5482294156
Neural_Net,0.1013124286
Neural_Net,0.4706651538
Neural_Net,0.703227514
Neural_Net,0.1926279389
Neural_Net,0.5728212525
Neural_Net,0.1238596771
Neural_Net,0.4988656479
Neural_Net,0.3609934504
Neural_Net,0.6905510875
Neural_Net,0.4120035549
Neural_Net,0.2943467813
Neural_Net,0.5689711064
Neural_Net,0.6420976196
Neural_Net,0.3621316875
Neural_Net,0.1850181656
Neural_Net,0.7721052507
Neural_Net,0.539434866
Neural_Net,0.05917055367
Neural_Net,0.06681353492
