"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"X55073",1093.9114342628,9.47207083275906,0.854670707470328,1.00618383369811e-29,1.68887956486229e-25
"TMEM140",1377.25694688024,5.08719623989629,0.501396451095939,3.01535714470673e-26,2.53063848369512e-22
"WASH7P",870.332636043874,3.72438394902423,0.385681417749454,3.24225099657692e-23,1.79426491272846e-19
"BRD7",1049.55312980051,1.81878606317145,0.192370060905958,4.27587706339818e-23,1.79426491272846e-19
"MYO15B",1052.9296523926,-5.78618603416542,0.654184667963458,1.23752332505672e-21,4.1543658022154e-18
"ACCS",316.276343607453,10.1953652154351,1.11474379044434,5.14720396515908e-21,1.43993030925325e-17
"CLEC2D",15149.1808736065,2.50803404575139,0.288614373563222,5.57257984668415e-20,1.16919690908242e-16
"COL18A1",429.493757044673,10.3724983030471,1.1656126797684,5.13227101112551e-20,1.16919690908242e-16
"PPP1CC",3848.53180036883,2.47742195663176,0.298023381907953,1.34350520628434e-18,2.5056372097203e-15
"ERMN",388.537303758234,-4.94363828510661,0.611894314305939,7.67131435507695e-18,1.28763011449967e-14
"H2AZ2",3196.52211555995,-1.80828858708275,0.224134073149329,9.78460319254039e-18,1.49304149624355e-14
"GPBP1",3024.25499675142,2.16333771751605,0.269861667959148,1.12574905471127e-17,1.57464149027738e-14
"PEF1",857.186218750407,2.59018876797688,0.329532755717283,6.50039159603597e-17,8.39300561072798e-14
"GALM",1333.17951717414,4.50934296772223,0.571141154953793,8.3664477050487e-17,1.00307731949459e-13
"CASP1",1852.03698379104,3.77173507372588,0.473530085347094,9.85647762138016e-17,1.10293984583244e-13
"ANKDD1A",312.027967718309,-5.16248180855465,0.678769362623802,1.89853574138279e-16,1.99168265119438e-13
"SPATA20",506.198157537092,-4.00196863487178,0.511764282762541,2.8107309793283e-16,2.77518349929562e-13
"CD164",8584.18898551888,1.75857127168238,0.230118932563847,3.26484194640793e-16,3.0444651150254e-13
"YEATS2",1640.89582875609,3.17515579714027,0.409124686179448,3.59892569373754e-16,3.17936672470445e-13
"MAF",4058.67714243012,4.5461520337032,0.601107655461503,1.03008979303159e-15,8.64502858801762e-13
"TTC21A",349.241094414736,7.46644668615225,1.04752832053686,1.09151395271874e-15,8.72431509351624e-13
"HLA.DOB",182.142949546932,6.45446808246972,0.92089961290979,1.61205431156796e-15,1.22992416453038e-12
"PPP2R2A",1161.69336324476,2.02971844344156,0.275999603659963,2.03186925853212e-15,1.48282284802007e-12
"PIANP",71.9041767059306,-8.24251987906266,1.18403562566592,1.19582243054915e-14,8.36328312365314e-12
"ARHGAP17",1368.30424617602,1.79779934506685,0.252755946512265,1.61688285955988e-14,1.08557515190851e-11
"X728743",1355.24760272175,3.60462418442585,0.497427624245802,2.27641172367138e-14,1.469598876224e-11
"PRR5",1416.40420723195,6.02904017765237,0.906590638537342,3.25816185815562e-14,2.02549062182008e-11
"MED25",1414.34311839039,2.49675673254404,0.356552859697415,3.48685023046102e-14,2.09024218279601e-11
"TMX1",1215.85491134673,2.06755903275839,0.297618566206763,3.90236015589013e-14,2.25865914540055e-11
"SPATC1L",68.7755555678828,10.2327995365633,1.43770833343748,5.14775998544475e-14,2.88017171185634e-11
"HERPUD2",2032.48816379377,2.12522107275833,0.310844013475004,8.38027464411414e-14,4.53751322262761e-11
"SRSF11",7453.96138957729,-1.41331339403638,0.205497081822246,2.6973779673307e-13,1.41485903692643e-10
"HLA.DQB1",329.044209305296,-12.2086056324257,1.75955211439106,2.78924802390213e-13,1.41871297215749e-10
"NME4",295.376425120926,-3.95021489352843,0.577562899484517,3.71971536558931e-13,1.79700516639713e-10
"UBA7",5924.55301979229,2.62099281500152,0.392088654764411,3.74710639403632e-13,1.79700516639713e-10
"TICAM1",587.640791487726,3.29793823967768,0.483921219469417,3.87591562247563e-13,1.80714565897926e-10
"PPP1R11",1332.67334385907,1.47149980421616,0.216794925666163,4.09843333313084e-13,1.85924874315138e-10
"ZFP30",267.248500430653,3.50784118416748,0.514802724036193,4.48985200935526e-13,1.98321489413232e-10
